role,company,location,time,link,Domain,scraped
Data Analyst - GAMMA,Boston Consulting Group (BCG),"Bengaluru, Karnataka, India",15 hours ago,https://in.linkedin.com/jobs/view/data-analyst-gamma-at-boston-consulting-group-bcg-3303490328?refId=GLbVma56C7ZFS42dYogQgw%3D%3D&trackingId=GwkVMMNojuEKXstHnkjcjw%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,14-10-2022_11:16:22
Data Analyst - GAMMA,Boston Consulting Group (BCG),"Delhi, Delhi, India",15 hours ago,https://in.linkedin.com/jobs/view/data-analyst-gamma-at-boston-consulting-group-bcg-3303490329?refId=GLbVma56C7ZFS42dYogQgw%3D%3D&trackingId=6DHaEJwSHX6Eb2ls9y2jDw%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,14-10-2022_11:16:22
"Data Analyst/ Data Modeler, ENO",Credit Suisse,"Pune, Maharashtra, India",18 hours ago,https://in.linkedin.com/jobs/view/data-analyst-data-modeler-eno-at-credit-suisse-3306888996?refId=GLbVma56C7ZFS42dYogQgw%3D%3D&trackingId=8H5NPEOVsSjHdWnJe7JZOA%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,14-10-2022_11:16:22
Data Analyst,SmartAnalyst,"Gurugram, Haryana, India",17 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-smartanalyst-3281550898?refId=GLbVma56C7ZFS42dYogQgw%3D%3D&trackingId=dXjMNFe3nJ0cbYyzaimp3Q%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,14-10-2022_11:16:22
Data Analyst - Legal Operations,UnitedLex,"Bengaluru, Karnataka, India",18 hours ago,https://in.linkedin.com/jobs/view/data-analyst-legal-operations-at-unitedlex-3306885805?refId=GLbVma56C7ZFS42dYogQgw%3D%3D&trackingId=FHR0smezLeK%2BaOkR2tZlGQ%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,14-10-2022_11:16:22
"Analyst, People Analytics",Boston Consulting Group (BCG),"Delhi, Delhi, India",15 hours ago,https://in.linkedin.com/jobs/view/analyst-people-analytics-at-boston-consulting-group-bcg-3285571726?refId=GLbVma56C7ZFS42dYogQgw%3D%3D&trackingId=PNR4rjJQ47uf2TJ%2BzQn49w%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,14-10-2022_11:16:22
"Data Analyst/Data Modeler, AVP",Credit Suisse,"Pune, Maharashtra, India",18 hours ago,https://in.linkedin.com/jobs/view/data-analyst-data-modeler-avp-at-credit-suisse-3306890383?refId=GLbVma56C7ZFS42dYogQgw%3D%3D&trackingId=fkcD6q%2BLc2a%2BXXd31D0ulw%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,14-10-2022_11:16:22
Data Analyst,Applicantz,"Bangalore Urban, Karnataka, India",22 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-applicantz-3313087786?refId=GLbVma56C7ZFS42dYogQgw%3D%3D&trackingId=ksZeAj2m%2FUxSd%2FZJxiEhpw%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,14-10-2022_11:16:22
"Analyst, Geo Analytics - GAMMA",Boston Consulting Group (BCG),"Delhi, Delhi, India",15 hours ago,https://in.linkedin.com/jobs/view/analyst-geo-analytics-gamma-at-boston-consulting-group-bcg-3285573742?refId=GLbVma56C7ZFS42dYogQgw%3D%3D&trackingId=IDIvBYJuWTGXXk%2F7jUFUVw%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,14-10-2022_11:16:22
"Analyst, Geo Analytics - GAMMA",Boston Consulting Group (BCG),"Bengaluru, Karnataka, India",15 hours ago,https://in.linkedin.com/jobs/view/analyst-geo-analytics-gamma-at-boston-consulting-group-bcg-3285570655?refId=GLbVma56C7ZFS42dYogQgw%3D%3D&trackingId=Fci3mO6uVscYrMGNj%2BZ%2Fqg%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,14-10-2022_11:16:22
Data Analyst,ManipalCigna Health Insurance Company Ltd.,"Mumbai, Maharashtra, India",19 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-manipalcigna-health-insurance-company-ltd-3309263008?refId=GLbVma56C7ZFS42dYogQgw%3D%3D&trackingId=yFM9%2FSoYke2767aYSfpF4A%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,14-10-2022_11:16:22
Data Analyst,Mad Street Den,"Chennai, Tamil Nadu, India",18 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-mad-street-den-3306889651?refId=GLbVma56C7ZFS42dYogQgw%3D%3D&trackingId=V8qnNprNNZ6HBX4IBCNfQQ%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,14-10-2022_11:16:22
Subject Matter Expert - Data Analytics,Chegg Inc.,"Delhi, India",18 hours ago,https://in.linkedin.com/jobs/view/subject-matter-expert-data-analytics-at-chegg-inc-3306887981?refId=3hl5SVo8lU83KtTDJe%2Fv%2BA%3D%3D&trackingId=UbDdteAp6%2FKyXbQwjGVLig%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,14-10-2022_11:16:22
ANALYST DATA & INSIGHTS II,TE Connectivity,"Bengaluru, Karnataka, India",14 hours ago,https://in.linkedin.com/jobs/view/analyst-data-insights-ii-at-te-connectivity-3307334578?refId=3hl5SVo8lU83KtTDJe%2Fv%2BA%3D%3D&trackingId=A51zcT09kDKvoeB2p8jLIA%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,14-10-2022_11:16:22
Data Engineer – ED&A,Nike,"Bengaluru, Karnataka, India",11 hours ago,https://in.linkedin.com/jobs/view/data-engineer-%E2%80%93-ed-a-at-nike-3313495458?refId=3hl5SVo8lU83KtTDJe%2Fv%2BA%3D%3D&trackingId=9gaDoMZZ6yrgdkESCLtKsw%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,14-10-2022_11:16:22
Data Engineer,HARMAN International,"Bengaluru, Karnataka, India",20 hours ago,https://in.linkedin.com/jobs/view/data-engineer-at-harman-international-2844939826?refId=3hl5SVo8lU83KtTDJe%2Fv%2BA%3D%3D&trackingId=yHFs3X2G%2Fzk%2BDVxIuNp7bg%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,14-10-2022_11:16:22
PlanetSpark - Business Analyst/Data Analyst,PlanetSpark,"Gurugram, Haryana, India",9 hours ago,https://in.linkedin.com/jobs/view/planetspark-business-analyst-data-analyst-at-planetspark-3309539129?refId=3QHvYoGgCfzI47O0AVi6eA%3D%3D&trackingId=y8pCQh0L%2BkqDBwx%2BF82f9g%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,14-10-2022_11:16:22
Analytics Consultant,Wells Fargo,"Bengaluru, Karnataka, India",9 hours ago,https://in.linkedin.com/jobs/view/analytics-consultant-at-wells-fargo-3313425512?refId=rxi28Ki3%2BthhmlBBmqz6TA%3D%3D&trackingId=59gJea5landozCxpd%2F%2BkjQ%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,14-10-2022_11:16:22
Data Analyst Intern,Simplify360,"Bengaluru North, Karnataka, India",10 hours ago,https://in.linkedin.com/jobs/view/data-analyst-intern-at-simplify360-3313749346?refId=rxi28Ki3%2BthhmlBBmqz6TA%3D%3D&trackingId=voySBpq2PFVkNlxlDIhNWQ%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,14-10-2022_11:16:22
Data Engineer,Matrix HR Technologies,"Hyderabad, Telangana, India",1 hour ago,https://in.linkedin.com/jobs/view/data-engineer-at-matrix-hr-technologies-3309788186?refId=rxi28Ki3%2BthhmlBBmqz6TA%3D%3D&trackingId=Ni%2BOnC8dvv8qYBnBiAGLDA%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,14-10-2022_11:16:22
Data Management Analyst,Wells Fargo,"Bengaluru, Karnataka, India",9 hours ago,https://in.linkedin.com/jobs/view/data-management-analyst-at-wells-fargo-3313427169?refId=cZWLH6lu67dBVYBrsKoaUw%3D%3D&trackingId=1J7L5XDosACyifghwgpXeQ%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,14-10-2022_11:16:22
Data Management Analyst,Wells Fargo,"Telangana, India",9 hours ago,https://in.linkedin.com/jobs/view/data-management-analyst-at-wells-fargo-3313417707?refId=cZWLH6lu67dBVYBrsKoaUw%3D%3D&trackingId=1Y6vIBzM8%2FIXBxsjhGqt9A%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,14-10-2022_11:16:22
Test Engineer,Wipro,"Bengaluru, Karnataka, India",1 hour ago,https://in.linkedin.com/jobs/view/test-engineer-at-wipro-3309788176?refId=cZWLH6lu67dBVYBrsKoaUw%3D%3D&trackingId=raBtaAcZiPGiKTcpiz7rgg%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,14-10-2022_11:16:22
Junior Software Engineer,Vipsa Talent Solutions,"Mumbai, Maharashtra, India",50 minutes ago,https://in.linkedin.com/jobs/view/junior-software-engineer-at-vipsa-talent-solutions-3314505269?refId=cZWLH6lu67dBVYBrsKoaUw%3D%3D&trackingId=nLriNL7gtbLW5Xk%2BkPGVow%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,14-10-2022_11:16:22
Java Developer,Infosys,"Delhi, India",1 hour ago,https://in.linkedin.com/jobs/view/java-developer-at-infosys-3314502112?refId=cZWLH6lu67dBVYBrsKoaUw%3D%3D&trackingId=LqhfbOntAt%2BoD3mj%2FAOWhA%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,14-10-2022_11:16:22
