role,company,location,time,link,scraped
Data Analyst,LEJHRO,India,29 minutes ago,https://in.linkedin.com/jobs/view/data-analyst-at-lejhro-3247807263?refId=JBmgAp9M%2BYYD90GhAyiIAQ%3D%3D&trackingId=Af2ejIhJEB4ELqnTtaXO8g%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,05-09-2022_11:19:06
Learn Data Analyst,LEJHRO,India,8 minutes ago,https://in.linkedin.com/jobs/view/learn-data-analyst-at-lejhro-3252911954?refId=JBmgAp9M%2BYYD90GhAyiIAQ%3D%3D&trackingId=ftPkvEXymowdUuh93GWdBg%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,05-09-2022_11:19:06
Senior Data Analyst,Study Group,"Delhi, India",5 hours ago,https://in.linkedin.com/jobs/view/senior-data-analyst-at-study-group-3247186473?refId=JBmgAp9M%2BYYD90GhAyiIAQ%3D%3D&trackingId=N4sNY9EfYb94xx0TIkZz7w%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,05-09-2022_11:19:06
StratMed - Data Analyst,StratMed,"Gurugram, Haryana, India",12 hours ago,https://in.linkedin.com/jobs/view/stratmed-data-analyst-at-stratmed-3252190471?refId=JBmgAp9M%2BYYD90GhAyiIAQ%3D%3D&trackingId=RkNPp5UTnNZnX9fS9ZtKpg%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,05-09-2022_11:19:06
SQL (Data Analyst),Giant Eagle GCC,"Bengaluru, Karnataka, India",12 hours ago,https://in.linkedin.com/jobs/view/sql-data-analyst-at-giant-eagle-gcc-3252182840?refId=JBmgAp9M%2BYYD90GhAyiIAQ%3D%3D&trackingId=naQ6pRg%2Blg1dYER9hqkzDg%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,05-09-2022_11:19:06
Data Analyst [SQL],Giant Eagle GCC,"Bengaluru, Karnataka, India",12 hours ago,https://in.linkedin.com/jobs/view/data-analyst-sql-at-giant-eagle-gcc-3252183736?refId=JBmgAp9M%2BYYD90GhAyiIAQ%3D%3D&trackingId=geOh08bYPpWlcjWv3SLpJw%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,05-09-2022_11:19:06
Urgent openings for Data Analyst/Data Associate with leading MNC at Powai,Catalyst Corporate Services Pvt Ltd,"Mumbai, Maharashtra, India",18 hours ago,https://in.linkedin.com/jobs/view/urgent-openings-for-data-analyst-data-associate-with-leading-mnc-at-powai-at-catalyst-corporate-services-pvt-ltd-3251881881?refId=JBmgAp9M%2BYYD90GhAyiIAQ%3D%3D&trackingId=L24zAfjgLzmlsktY1nqOKQ%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,05-09-2022_11:19:06
Data Analyst [SQL & Python],Giant Eagle GCC,"Bengaluru, Karnataka, India",12 hours ago,https://in.linkedin.com/jobs/view/data-analyst-sql-python-at-giant-eagle-gcc-3252183734?refId=JBmgAp9M%2BYYD90GhAyiIAQ%3D%3D&trackingId=tX6Hc8ekc8qZ6KxVEnmDXw%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,05-09-2022_11:19:06
Analyst - Data Science - Python/Machine Learning/Analytics,HuQuo,"Gurugram, Haryana, India",12 hours ago,https://in.linkedin.com/jobs/view/analyst-data-science-python-machine-learning-analytics-at-huquo-3252190474?refId=JBmgAp9M%2BYYD90GhAyiIAQ%3D%3D&trackingId=GVGutM3NeCAHBO2Wd%2BywRg%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,05-09-2022_11:19:06
Data Analyst,ITC Infotech,"Bengaluru, Karnataka, India",20 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-itc-infotech-3150721957?refId=JBmgAp9M%2BYYD90GhAyiIAQ%3D%3D&trackingId=w4YPrd%2FZzmHQIcNIIWTbLQ%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,05-09-2022_11:19:06
