role,company,location,time,link,scraped
Business Analyst Intern,Shadowing AI,India,1 hour ago,https://in.linkedin.com/jobs/view/business-analyst-intern-at-shadowing-ai-3249263168?refId=y2A1mfbYMbiBOAnec3BgLw%3D%3D&trackingId=kE439aaIVnXHTVdOtbSTaQ%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,07-09-2022_09:27:51
Business Analyst,Innofied,"Pune, Maharashtra, India",11 hours ago,https://in.linkedin.com/jobs/view/business-analyst-at-innofied-3254034208?refId=y2A1mfbYMbiBOAnec3BgLw%3D%3D&trackingId=5UDrhkO9RDXJi66AtCq0Yw%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,07-09-2022_09:27:51
Senior Analyst - Settlements,Societe Generale Global Solution Centre,"Bengaluru, Karnataka, India",9 hours ago,https://in.linkedin.com/jobs/view/senior-analyst-settlements-at-societe-generale-global-solution-centre-3254072948?refId=y2A1mfbYMbiBOAnec3BgLw%3D%3D&trackingId=JkBA431mrXgebWUU%2FKkAtQ%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,07-09-2022_09:27:51
Senior Analyst - Banking Operations,Razorpay,"Bengaluru, Karnataka, India",16 hours ago,https://in.linkedin.com/jobs/view/senior-analyst-banking-operations-at-razorpay-3249124115?refId=y2A1mfbYMbiBOAnec3BgLw%3D%3D&trackingId=CvYumBlT4LMsYW2PKAv1YA%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card,07-09-2022_09:27:51
Business Analyst,Societe Generale Global Solution Centre,"Bengaluru, Karnataka, India",9 hours ago,https://in.linkedin.com/jobs/view/business-analyst-at-societe-generale-global-solution-centre-3254076512?refId=y2A1mfbYMbiBOAnec3BgLw%3D%3D&trackingId=dzgyecTxQkKR1IieBjNJWA%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card,07-09-2022_09:27:51
Business Intelligence Analyst (Data Analytics),NetApp,"Bangalore Rural, Karnataka, India",17 hours ago,https://in.linkedin.com/jobs/view/business-intelligence-analyst-data-analytics-at-netapp-3236606417?refId=y2A1mfbYMbiBOAnec3BgLw%3D%3D&trackingId=zwTsmQyYWeL%2Fpe3swA07Mg%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card,07-09-2022_09:27:51
DG - Business Analyst- CLL-BFS021922,Genpact,"Hyderabad, Telangana, India",10 hours ago,https://in.linkedin.com/jobs/view/dg-business-analyst-cll-bfs021922-at-genpact-3254048587?refId=y2A1mfbYMbiBOAnec3BgLw%3D%3D&trackingId=bjqNLFRsBIAxKGeR8agtjw%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card,07-09-2022_09:27:51
Senior Analyst,Societe Generale Global Solution Centre,"Bengaluru, Karnataka, India",9 hours ago,https://in.linkedin.com/jobs/view/senior-analyst-at-societe-generale-global-solution-centre-3254079270?refId=y2A1mfbYMbiBOAnec3BgLw%3D%3D&trackingId=Lkqzu2R5KSAEas%2FY8ZaktA%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card,07-09-2022_09:27:51
Business Analyst,Ecolab,"Bengaluru, Karnataka, India",10 hours ago,https://in.linkedin.com/jobs/view/business-analyst-at-ecolab-3240385337?refId=y2A1mfbYMbiBOAnec3BgLw%3D%3D&trackingId=RMNeQFZyWiL5CINMYxTJ%2Fg%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card,07-09-2022_09:27:51
Data Quality and Governance Analyst 1,JLL,"Bengaluru, Karnataka, India",10 hours ago,https://in.linkedin.com/jobs/view/data-quality-and-governance-analyst-1-at-jll-3254059017?refId=y2A1mfbYMbiBOAnec3BgLw%3D%3D&trackingId=GdW8rScQ6Mr8GVjs0KPFag%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card,07-09-2022_09:27:51
Technical Business Analysis Senior Specialist,Telstra,"Bengaluru, Karnataka, India",15 hours ago,https://in.linkedin.com/jobs/view/technical-business-analysis-senior-specialist-at-telstra-3249128797?refId=y2A1mfbYMbiBOAnec3BgLw%3D%3D&trackingId=4vj8ye0KX5vgEtgA0oxVgw%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card,07-09-2022_09:27:51
"Business Analyst - SME, NRI",CSB Bank Limited,"Mumbai, Maharashtra, India",16 hours ago,https://in.linkedin.com/jobs/view/business-analyst-sme-nri-at-csb-bank-limited-3254920643?refId=y2A1mfbYMbiBOAnec3BgLw%3D%3D&trackingId=9lX7U3xbOkGma6XR0KPEaw%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card,07-09-2022_09:27:51
Business Analyst,TELUS International,"Bengaluru, Karnataka, India",18 hours ago,https://in.linkedin.com/jobs/view/business-analyst-at-telus-international-3155714581?refId=xF7nNCALiZZC8s81iOkfHw%3D%3D&trackingId=sIGft%2FfiVOKhHn8UbgxdKg%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,07-09-2022_09:27:51
Senior Business Analyst,Evalueserve,"Gurugram, Haryana, India",17 minutes ago,https://in.linkedin.com/jobs/view/senior-business-analyst-at-evalueserve-3224467759?refId=xF7nNCALiZZC8s81iOkfHw%3D%3D&trackingId=HPwWH4DZaJBQ1hnBQ6psxg%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,07-09-2022_09:27:51
Business Analyst,Azentio Software,"Mumbai, Maharashtra, India",4 hours ago,https://in.linkedin.com/jobs/view/business-analyst-at-azentio-software-3256841055?refId=xF7nNCALiZZC8s81iOkfHw%3D%3D&trackingId=vxo9JdM7CRh4tAGV7hCr8w%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card,07-09-2022_09:27:51
Business Analyst,Innofied,Greater Kolkata Area,11 hours ago,https://in.linkedin.com/jobs/view/business-analyst-at-innofied-3254033248?refId=xF7nNCALiZZC8s81iOkfHw%3D%3D&trackingId=7R1IpDViQqqckPu3iiB4Jw%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card,07-09-2022_09:27:51
Business Analyst,Baxter International Inc.,"Bengaluru, Karnataka, India",16 hours ago,https://in.linkedin.com/jobs/view/business-analyst-at-baxter-international-inc-3253827363?refId=xF7nNCALiZZC8s81iOkfHw%3D%3D&trackingId=dOFWQY1OW6G8x4XaIukELA%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card,07-09-2022_09:27:51
Business Analyst,Infoparks Kerala,"Kochi, Kerala, India",17 hours ago,https://in.linkedin.com/jobs/view/business-analyst-at-infoparks-kerala-3253821132?refId=xF7nNCALiZZC8s81iOkfHw%3D%3D&trackingId=fH9E19PnBkakqO%2B11iLlBQ%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card,07-09-2022_09:27:51
Business Analyst - Customer Engagement,Lucy Group Ltd,India,10 hours ago,https://in.linkedin.com/jobs/view/business-analyst-customer-engagement-at-lucy-group-ltd-3233004761?refId=8oUwqSWhRcIZqFv5mIWnNw%3D%3D&trackingId=Gofh7hZiye3hHGgvO10gFg%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card,07-09-2022_09:27:51
Senior Business Analyst,PlanetSpark,"Gurugram, Haryana, India",20 hours ago,https://in.linkedin.com/jobs/view/senior-business-analyst-at-planetspark-3241646741?refId=8oUwqSWhRcIZqFv5mIWnNw%3D%3D&trackingId=Npsf9usOmVW0Bm3MG2nUOw%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card,07-09-2022_09:27:51
Senior Business Analyst,NetXD Inc.,"Chennai, Tamil Nadu, India",7 hours ago,https://in.linkedin.com/jobs/view/senior-business-analyst-at-netxd-inc-3256699409?refId=rfhRjntlxFv394t9O3xmsQ%3D%3D&trackingId=EPadi9rNyMIE62ojbRB89g%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card,07-09-2022_09:27:51
